"Player Height {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
1.335,38.919,108.645,359.341,4.593,0.000,10.281,"Duvet01_303 from [64.31] to [64.45]","Begining : [64.5]"
1.334,38.948,110.857,358.844,4.758,0.000,10.335,"Ground_303 from [64.45] to [65.59]",
1.334,39.035,112.315,358.647,4.921,0.000,10.378,"Plaid_303 from [65.59] to [65.69]",
1.337,38.082,113.626,0.244,5.082,0.000,10.413,"Duvet01_303 from [65.69] to [65.80]",
1.343,35.524,113.755,0.802,5.219,0.000,10.435,"Duvet03_303 from [65.80] to [65.91]",
1.347,33.984,114.189,0.204,5.350,0.000,10.446,"Duvet02_303 from [65.91] to [66.70]",
1.351,32.606,117.895,0.122,5.492,0.000,10.446,"Plaid_303 from [66.70] to [67.81]",
1.352,32.045,129.537,1.577,5.634,0.000,10.395,"Duvet03_303 from [67.81] to [67.96]",
1.351,31.898,146.060,4.678,5.762,0.000,10.294,"Wall_bathroom_door_303 from [67.96] to [68.21]",
1.349,31.479,167.609,7.511,5.844,0.000,10.155,"Cupboard_303 from [68.21] to [68.35]",
1.343,31.115,185.756,9.819,5.875,0.000,10.104,"Closet_door_left_303 from [68.35] to [68.50]",
1.345,29.198,192.229,8.900,5.875,0.000,10.104,"Closet_303 from [68.50] to [68.61]",
1.352,27.259,192.245,7.359,5.875,0.000,10.104,"Closet_door_left_303 from [68.61] to [68.72]",
1.356,26.319,186.803,6.172,5.875,0.000,10.104,"Closet_303 from [68.72] to [68.86]",
1.366,23.221,179.737,5.803,5.875,0.000,10.104,"Mircrowave_303 from [68.86] to [69.02]",
1.365,22.095,178.286,5.143,5.875,0.000,10.104,"Closet_303 from [69.02] to [69.37]",
1.371,22.176,179.589,0.433,5.876,0.000,10.187,"Closet_door_left_303 from [69.37] to [69.53]",
1.366,22.809,187.595,350.783,5.876,0.000,10.187,"Door_303 from [69.53] to [72.94]",
1.362,25.549,195.804,353.540,5.876,0.000,10.187,"SmokePlane (07) from [72.94] to [73.19]",
1.337,37.792,201.643,2.309,5.876,0.000,10.187,"NPC Evacuation Trigger from [73.19] to [73.84]",
1.338,37.447,198.950,2.702,5.876,0.000,10.187,"SmokePlane (07) from [73.84] to [74.48]",
1.336,39.082,189.788,1.913,5.876,0.000,10.187,"NPC Evacuation Trigger from [74.48] to [74.99]",
1.332,40.076,187.921,0.701,5.876,0.000,10.187,"TriggerZone HelpingChoice from [74.99] to [75.10]",
1.329,40.696,188.905,0.354,5.876,0.000,10.187,"Wall_door_304 from [75.10] to [75.32]",
1.325,42.077,191.014,1.191,5.876,0.000,10.187,"NPC Hurt Kate from [75.32] to [75.70]",
