"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [19.93] to [20.03]","Begining : [20.1]"
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [20.03] to [20.48]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [20.48] to [20.71]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [20.71] to [21.05]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [21.05] to [21.27]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [21.27] to [21.73]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [21.73] to [21.84]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [21.84] to [21.94]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [21.94] to [22.27]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [22.27] to [22.51]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [22.51] to [22.96]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [22.96] to [23.08]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [23.08] to [23.41]",
5.280,0.000,4.100,0.000,90.000,0.000,0.300,"head collider from [23.41] to [23.53]",
5.180,0.000,4.110,0.000,90.000,0.000,0.300,"head collider from [23.53] to [23.65]",
4.100,0.000,3.930,0.000,90.000,0.000,0.300,"head collider from [23.65] to [23.78]",
3.420,0.000,3.970,0.000,90.000,0.000,0.300,"head collider from [23.78] to [24.45]",
3.220,0.000,3.980,0.000,90.000,0.000,0.300,"head collider from [24.45] to [24.56]",
2.980,0.000,4.050,0.000,90.000,0.000,0.300,"head collider from [24.56] to [24.66]",
2.980,0.000,4.050,0.000,90.000,0.000,0.300,"head collider from [24.66] to [24.77]",
2.980,0.000,4.080,0.000,90.000,0.000,0.300,"head collider from [24.77] to [24.87]",
2.920,0.000,4.140,0.000,90.000,0.000,0.300,"head collider from [24.87] to [25.09]",
2.420,0.000,4.200,0.000,90.000,0.000,0.300,"head collider from [25.09] to [25.64]",
1.940,0.000,4.140,0.000,90.000,0.000,0.300,"head collider from [25.64] to [25.75]",
1.780,0.000,4.090,0.000,90.000,0.000,0.300,,
0.960,0.000,4.080,0.000,90.000,0.000,0.300,,
0.960,0.000,4.080,0.000,90.000,0.000,0.300,,
0.960,0.000,4.080,0.000,90.000,0.000,0.300,,
0.880,0.000,4.080,0.000,90.000,0.000,0.300,,
0.600,0.000,4.100,0.000,90.000,0.000,0.300,,
0.450,0.000,4.100,0.000,90.000,0.000,0.300,,
0.450,0.000,4.100,0.000,90.000,0.000,0.300,,
0.450,0.000,4.100,0.000,90.000,0.000,0.300,,
0.150,0.000,2.690,0.000,90.000,0.000,0.300,,
0.370,0.000,0.950,0.000,90.000,0.000,0.300,,
1.260,0.000,0.420,0.000,90.000,0.000,0.300,,
2.730,0.000,0.400,0.000,90.000,0.000,0.300,,
3.710,0.000,0.600,0.000,90.000,0.000,0.300,,
4.560,0.000,0.400,0.000,90.000,0.000,0.300,,
5.230,0.000,0.330,0.000,90.000,0.000,0.300,,
5.720,0.000,0.330,0.000,90.000,0.000,0.300,,
5.810,0.000,0.310,0.000,90.000,0.000,0.300,,
5.860,0.000,0.270,0.000,90.000,0.000,0.300,,
6.050,0.000,0.210,0.000,90.000,0.000,0.300,,
6.100,0.000,0.220,0.000,90.000,0.000,0.300,,
6.210,0.000,0.230,0.000,90.000,0.000,0.300,,
6.320,0.000,0.140,0.000,90.000,0.000,0.300,,
6.370,0.000,0.100,0.000,90.000,0.000,0.300,,
6.410,0.000,0.050,0.000,90.000,0.000,0.300,,
6.480,0.000,-0.580,0.000,90.000,0.000,0.300,,
6.500,0.000,-1.510,0.000,90.000,0.000,0.300,,
