"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
3.317,0.000,1.847,29.887,224.706,357.322,1.509,"Bathroom_Door_307 from [76.84] to [78.07]","Begining : [76.9]"
3.317,0.000,1.847,29.982,224.484,356.170,1.509,"LeftHand Controller from [78.07] to [78.18]",
3.317,0.000,1.847,30.526,227.287,355.490,1.504,"base collider from [78.18] to [78.40]",
3.317,0.000,1.847,31.952,229.847,356.116,1.497,"Bathroom_Door_307 from [78.40] to [79.28]",
3.317,0.000,1.847,32.324,231.574,356.278,1.491,"Wall_north_307 from [79.28] to [79.49]",
3.317,0.000,1.847,31.656,233.370,356.270,1.486,"Bed_backrest_307 from [79.49] to [79.60]",
3.317,0.000,1.847,33.110,234.656,357.744,1.481,"Cushion_east_307 from [79.60] to [79.71]",
3.317,0.000,1.847,33.706,234.190,358.547,1.480,"Cushion_west_307 from [79.71] to [79.82]",
3.317,0.000,1.847,33.352,233.767,359.083,1.481,"Cushion_middle_307 from [79.82] to [79.93]",
3.317,0.000,1.847,33.083,232.691,359.099,1.482,"Cushion_west_307 from [79.93] to [80.04]",
3.317,0.000,1.847,33.454,232.315,0.067,1.485,"Bed_backrest_307 from [80.04] to [80.15]",
3.317,0.000,1.847,32.697,232.164,0.178,1.488,"Wall_north_307 from [80.15] to [80.48]",
3.317,0.000,1.847,31.853,233.461,0.524,1.491,"Bathroom_Door_307 from [80.48] to [80.70]",
3.317,0.000,1.847,32.010,234.315,0.982,1.490,"Wall_WC_307 from [80.70] to [80.81]",
3.317,0.000,1.847,32.223,236.817,1.862,1.490,"Wall_door_307 from [80.81] to [81.03]",
3.317,0.000,1.847,31.877,238.927,2.522,1.491,"shower_doors_307.01 from [81.03] to [81.37]",
3.317,0.000,1.847,31.604,234.250,0.664,1.492,"Sink_307 from [81.37] to [81.48]",
3.317,0.000,1.847,30.938,228.630,359.030,1.494,"Wall_door_307 from [81.48] to [82.03]",
3.317,0.000,1.847,30.939,226.639,358.626,1.495,"WC_307.03 from [82.03] to [82.26]",
3.317,0.000,1.847,31.067,227.545,359.594,1.497,"Wall_door_307 from [82.26] to [82.47]",
3.317,0.000,1.847,30.070,224.268,359.182,1.501,"Wall_north_307 from [82.47] to [82.69]",
3.317,0.000,1.847,30.147,215.374,358.224,1.500,"Wall_WC_307 from [82.69] to [83.24]",
3.317,0.000,1.847,29.698,198.801,356.193,1.502,"Wall_north_307 from [83.24] to [83.35]",
3.317,0.000,1.847,29.363,180.199,353.987,1.503,"Bathroom_Door_307 from [83.35] to [86.34]",
3.252,0.000,1.818,28.286,155.308,350.467,1.506,"Duvet02_307 from [86.34] to [86.56]",
3.164,0.000,1.708,25.102,123.263,346.828,1.512,"Duvet03_307 from [86.56] to [86.67]",
3.121,0.000,1.571,23.801,107.320,344.570,1.510,"Duvet01_307 from [86.67] to [87.12]",
3.099,0.000,1.428,24.714,102.476,344.764,1.508,"Duvet03_307 from [87.12] to [87.23]",
3.085,0.000,1.284,24.997,101.659,346.851,1.511,"Duvet02_307 from [87.23] to [87.45]",
3.065,0.000,1.143,24.993,109.312,348.792,1.513,"Cushion_east_307 from [87.45] to [87.67]",
3.012,0.000,1.014,27.590,132.597,352.246,1.509,"SmokePlane (34) from [87.67] to [87.90]",
2.899,0.000,0.927,29.442,168.836,359.066,1.505,"Cushion_east_307 from [87.90] to [88.22]",
2.822,0.000,0.949,30.424,189.472,2.754,1.505,"Duvet02_307 from [88.22] to [88.33]",
2.706,0.000,1.001,29.902,223.470,7.019,1.505,"Plaid_307 from [88.33] to [88.55]",
2.600,0.000,1.097,28.734,241.567,6.442,1.510,"Ground_307 from [88.55] to [88.77]",
2.533,0.000,1.225,28.179,262.261,6.750,1.511,"Wall_south_307 from [88.77] to [90.11]",
2.514,0.000,1.367,27.533,281.382,5.608,1.512,"SmokePlane (26) from [90.11] to [90.66]",
2.542,0.000,1.510,28.659,297.474,5.475,1.512,"Door_307 from [90.66] to [91.00]",
2.566,0.000,1.588,29.652,298.934,4.214,1.508,"SmokePlane (5) from [91.00] to [93.99]",
2.569,0.000,1.597,30.781,297.587,3.125,1.504,"Door_307 from [93.99] to [94.11]",
2.570,0.000,1.601,31.240,297.396,2.485,1.504,"SmokePlane (5) from [94.11] to [95.33]",
2.570,0.000,1.602,30.491,296.496,2.303,1.507,"NPC Evacuation Trigger from [95.33] to [95.77]",
2.565,0.000,1.614,29.548,284.950,1.675,1.510,"TriggerZone HelpingChoice from [95.77] to [95.88]",
2.509,0.000,1.670,30.172,257.242,358.095,1.510,"SmokePlane (15) from [95.88] to [96.55]",
2.409,0.000,1.707,32.414,244.416,355.157,1.505,"Wall_door_308 from [96.55] to [96.66]",
2.298,0.000,1.710,33.752,240.049,355.078,1.502,"NPC Hurt Kate from [96.66] to [97.44]",
2.176,0.000,1.726,33.701,231.996,354.534,1.502,"Wall_door_308 from [97.44] to [97.66]",
2.044,0.000,1.786,33.362,224.297,353.357,1.503,"NPC Hurt Kate from [97.66] to [97.77]",
1.909,0.000,1.835,32.374,219.710,353.353,1.505,"Wall_door_308 from [97.77] to [99.44]",
1.770,0.000,1.874,31.620,215.971,352.727,1.505,"SmokePlane (14) from [99.44] to [99.55]",
1.640,0.000,1.901,30.416,212.069,352.102,1.508,"Door_306 from [99.55] to [101.20]",
1.498,0.000,1.915,27.569,201.483,351.246,1.512,"SmokePlane (14) from [101.20] to [103.20]",
1.357,0.000,1.894,24.987,186.633,349.168,1.516,"SmokePlane (26) from [103.20] to [103.65]",
1.230,0.000,1.826,23.056,166.226,349.017,1.521,"NPC Hurt Kate from [103.65] to [104.54]",
