"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
4.712,0.000,8.259,13.190,227.993,358.011,1.327,"Bathroom_Door_303 from [233.09] to [233.46]","Begining : [233.2]"
4.712,0.000,8.259,14.335,230.681,358.539,1.324,"LeftHand Controller from [233.46] to [233.76]",
4.712,0.000,8.259,14.536,229.552,358.095,1.325,"Bathroom_Door_303 from [233.76] to [234.40]",
4.712,0.000,8.259,14.643,226.710,358.803,1.325,"Wall_WC_303 from [234.40] to [234.73]",
4.629,0.000,8.210,15.646,223.762,359.387,1.323,"Wall_door_303 from [234.73] to [236.73]",
4.551,0.000,8.059,18.340,221.175,1.209,1.317,"Wall_north_303 from [236.73] to [237.59]",
4.463,0.000,7.913,19.623,220.631,1.514,1.314,"Wall_WC_303 from [237.59] to [237.71]",
4.369,0.000,7.764,20.964,224.123,1.761,1.311,"Wall_north_303 from [237.71] to [237.93]",
4.257,0.000,7.647,21.310,232.803,3.390,1.311,"Bathroom_Door_303 from [237.93] to [238.06]",
4.134,0.000,7.577,20.859,245.246,5.559,1.312,"Wall_north_303 from [238.06] to [238.17]",
4.004,0.000,7.532,20.280,258.199,6.811,1.313,"Bed_backrest_303 from [238.17] to [238.41]",
3.939,0.000,7.523,20.512,263.742,6.987,1.313,"Cushion_east_303 from [238.41] to [238.67]",
3.820,0.000,7.593,20.594,271.438,7.130,1.312,"Bathroom_door_frame_right_303 from [238.67] to [238.90]",
3.679,0.000,7.566,20.811,277.969,6.636,1.312,"Cushion_east_303 from [238.90] to [239.14]",
3.519,0.000,7.555,20.810,283.115,7.226,1.312,"Bed_backrest_303 from [239.14] to [239.42]",
3.364,0.000,7.585,20.778,288.007,8.113,1.311,"Wall_north_303 from [239.42] to [239.91]",
3.283,0.000,7.623,21.995,287.451,7.536,1.309,"Bathroom_Door_303 from [239.91] to [240.58]",
3.268,0.000,7.680,23.263,283.307,6.024,1.306,"Wall_north_303 from [240.58] to [241.16]",
3.179,0.000,7.758,23.910,280.527,4.710,1.306,"Bedside_table_303 from [241.16] to [241.28]",
3.096,0.000,7.885,23.926,277.406,3.249,1.306,"Wall_window_303 from [241.28] to [242.15]",
3.052,0.000,8.010,23.846,270.012,0.529,1.307,"Cushion_middle_303 from [242.15] to [242.71]",
3.009,0.000,8.134,24.426,266.411,359.951,1.306,"Cushion_east_303 from [242.71] to [243.28]",
2.964,0.000,8.258,24.843,263.463,359.648,1.304,"Cushion_middle_303 from [243.28] to [243.39]",
2.909,0.000,8.376,25.550,253.179,358.626,1.303,"Duvet02_303 from [243.39] to [243.52]",
2.806,0.000,8.478,25.419,237.365,355.539,1.303,"Wall_window_303 from [243.52] to [244.58]",
2.662,0.000,8.580,25.709,221.472,351.829,1.301,"Big Window from [244.58] to [244.72]",
2.596,0.000,8.641,25.654,213.258,350.522,1.300,"Wall_window_303 from [244.72] to [244.82]",
2.577,0.000,8.679,24.936,206.159,350.424,1.301,"Wall_north_303 from [244.82] to [245.47]",
2.564,0.000,8.701,23.489,195.808,349.553,1.304,"Bathroom_Door_303 from [245.47] to [245.60]",
2.561,0.000,8.712,22.449,191.478,349.427,1.306,"Wall_bathroom_door_303 from [245.60] to [246.13]",
2.561,0.000,8.701,19.126,181.961,350.000,1.312,"SmokePlane (07) from [246.13] to [246.28]",
2.532,0.000,8.602,17.014,174.687,350.613,1.316,"Wall_south_303 from [246.28] to [246.38]",
2.506,0.000,8.457,16.385,168.736,351.124,1.317,"Door_frame_left_303 from [246.38] to [246.54]",
2.490,0.000,8.313,15.430,165.637,352.179,1.320,"Door_303 from [246.54] to [246.69]",
2.484,0.000,8.163,13.884,162.029,352.966,1.323,"SmokePlane (07) from [246.69] to [247.20]",
2.486,0.000,8.022,13.257,158.246,351.872,1.322,"Closet_303 from [247.20] to [247.34]",
2.486,0.000,8.022,12.454,155.375,350.438,1.321,"Closet_door_left_303 from [247.34] to [247.75]",
2.577,0.000,8.001,10.579,152.009,352.893,1.331,"SmokePlane (07) from [247.75] to [251.44]",
2.729,0.000,8.012,9.072,145.948,354.365,1.337,"NPC Evacuation Trigger from [251.44] to [252.05]",
2.869,0.000,8.076,8.526,135.224,354.793,1.336,"TriggerZone HelpingChoice from [252.05] to [252.18]",
2.982,0.000,8.152,9.559,127.526,355.098,1.330,"NPC Hurt Kate from [252.18] to [253.51]",
3.122,0.000,8.234,9.697,123.451,354.958,1.329,"SmokePlane (24) from [253.51] to [255.48]",
3.168,0.000,8.196,10.716,117.289,355.761,1.329,"NPC Hurt Kate from [255.48] to [255.75]",
3.265,0.000,8.176,11.193,115.241,356.291,1.330,"Wall_door_304 from [255.75] to [257.74]",
3.435,0.000,8.190,12.822,109.418,356.779,1.331,"SmokePlane (25) from [257.74] to [259.62]",
3.618,0.000,8.182,11.572,107.245,356.135,1.334,"Wall_door_304 from [259.62] to [261.41]",
3.749,0.000,8.175,12.663,106.393,355.006,1.331,"SmokePlane (23) from [261.41] to [261.52]",
3.784,0.000,8.173,13.669,106.783,354.560,1.328,"Door_308 from [261.52] to [262.47]",
3.793,0.000,8.169,14.208,111.905,353.057,1.325,"SmokePlane (23) from [262.47] to [272.53]",
3.809,0.000,8.145,14.701,115.094,353.081,1.324,"Wall_door_308 from [272.53] to [272.66]",
3.838,0.000,8.131,14.873,120.474,352.905,1.321,"Door_308 from [272.66] to [273.52]",
3.856,0.000,8.118,13.273,124.134,354.606,1.328,"SmokePlane (23) from [273.52] to [274.54]",
3.863,0.000,8.111,12.513,125.552,355.121,1.331,"NPC Hurt Kate from [274.54] to [275.86]",
3.868,0.000,8.106,11.719,127.523,355.537,1.333,"SmokePlane (24) from [275.86] to [276.11]",
3.868,0.000,8.106,11.257,130.261,355.762,1.335,"NPC Hurt Kate from [276.11] to [276.77]",
3.868,0.000,8.106,12.069,143.955,357.286,1.334,"SmokePlane (24) from [276.77] to [278.15]",
3.841,0.000,8.105,13.925,164.004,1.465,1.329,"NPC Hurt Kate from [278.15] to [278.82]",
3.795,0.000,8.098,13.551,165.641,1.758,1.331,"SmokePlane (24) from [278.82] to [279.22]",
3.746,0.000,8.038,14.593,161.953,0.573,1.329,"Door_frame_right_303 from [279.22] to [279.34]",
3.726,0.000,7.972,14.209,159.758,359.690,1.331,"SmokePlane (24) from [279.34] to [279.62]",
3.756,0.000,7.865,13.967,154.977,358.977,1.331,"NPC Hurt Kate from [279.62] to [279.90]",
3.828,0.000,7.739,13.127,144.115,358.273,1.333,"SmokePlane (24) from [279.90] to [281.41]",
3.923,0.000,7.640,11.335,125.609,355.886,1.335,"NPC Hurt Kate from [281.41] to [281.53]",
4.037,0.000,7.565,10.898,115.105,355.021,1.334,"Closet_door_left_303 from [281.53] to [281.65]",
4.148,0.000,7.513,10.550,107.702,355.122,1.334,"Wall_bathroom_door_303 from [281.65] to [281.78]",
4.269,0.000,7.471,9.980,101.848,355.596,1.335,"SmokePlane (24) from [281.78] to [282.41]",
4.426,0.000,7.520,10.022,93.548,355.610,1.335,"Wall_door_304 from [282.41] to [282.91]",
4.426,0.000,7.520,9.790,84.954,355.083,1.335,"SmokePlane (25) from [282.91] to [285.63]",
4.467,0.000,7.652,9.683,79.603,354.687,1.335,"Door from [285.63] to [285.74]",
4.493,0.000,7.812,9.528,72.714,354.593,1.335,"Wall_door_306 from [285.74] to [285.95]",
4.507,0.000,7.979,9.150,70.255,354.879,1.336,"Wall_left_304 from [285.95] to [286.05]",
4.515,0.000,8.064,9.773,71.375,354.551,1.334,"Door_frame_left_304 from [286.05] to [286.21]",
4.515,0.000,8.064,11.557,81.301,353.024,1.330,"Door_handle_304 from [286.21] to [286.35]",
4.515,0.000,8.064,14.717,92.892,352.768,1.322,"Wall_door_304 from [286.35] to [288.50]",
4.515,0.000,8.064,17.914,101.273,353.194,1.313,"Door_frame_left_302 from [288.50] to [288.64]",
4.515,0.000,8.064,19.072,102.472,352.279,1.309,"Wall_door_304 from [288.64] to [290.60]",
4.515,0.000,8.064,19.388,103.665,350.814,1.307,"Door_frame_left_302 from [290.60] to [290.73]",
4.515,0.000,8.064,20.370,106.493,351.093,1.305,"Door from [290.73] to [291.41]",
4.515,0.000,8.064,21.067,105.770,349.488,1.304,"Wall_door_302 from [291.41] to [291.54]",
4.515,0.000,8.064,22.966,105.572,344.699,1.301,"TriggerZone from [291.54] to [291.69]",
4.515,0.000,8.064,25.185,107.160,343.712,1.299,"Door_frame_right_303 from [291.69] to [291.82]",
4.515,0.000,8.064,25.935,109.479,345.092,1.297,"Wall_door_303 from [291.82] to [291.96]",
4.515,0.000,8.064,25.618,108.863,344.803,1.296,"Door_frame_right_303 from [291.96] to [292.09]",
4.515,0.000,8.064,23.904,107.241,347.215,1.299,"Wall_door_303 from [292.09] to [292.23]",
4.515,0.000,8.064,18.504,101.397,347.767,1.313,"Door from [292.23] to [292.77]",
4.515,0.000,8.064,16.064,94.218,349.172,1.319,"Wall_door_303 from [292.77] to [293.30]",
4.589,0.000,8.057,13.303,83.902,350.548,1.327,"Corridor_floor_marble_03 from [293.30] to [293.56]",
4.698,0.000,8.066,11.226,74.886,351.184,1.331,"Corridor_floor_north_south_02 from [293.56] to [293.69]",
4.838,0.000,8.101,11.393,66.581,351.368,1.330,"Corridor_floor_marble_03 from [293.69] to [296.51]",
4.950,0.000,8.136,11.382,65.437,351.328,1.330,"Wall_door_300 from [296.51] to [296.63]",
5.095,0.000,8.179,11.347,65.872,352.488,1.331,"TriggerZone from [296.63] to [296.75]",
5.208,0.000,8.212,11.103,65.665,352.597,1.332,"Corridor_wall_south from [296.75] to [296.87]",
