"Player Position X","Player Position Y","Player Position Z","Head Rotation X","Head Rotation Y","Head Rotation Z","Player Height","Object Viewed","Player Position X","Player Position Y","Player Position Z","Head Rotation X","Head Rotation Y","Head Rotation Z","Player Height","Object Viewed","Player Position X","Player Position Y","Player Position Z","Head Rotation X","Head Rotation Y","Head Rotation Z","Player Height","Object Viewed","Player Position X","Player Position Y","Player Position Z","Head Rotation X","Head Rotation Y","Head Rotation Z","Player Height","Object Viewed"
6.640,0.000,2.740,356.030,277.631,359.064,0.824,"Cube.009 from [26.32] to [29.12]",6.640,0.000,2.740,356.030,277.631,359.064,0.824,"Cube.009 from [26.32] to [29.12]",6.640,0.000,2.740,356.030,277.631,359.064,0.824,"Cube.009 from [26.32] to [29.12]",6.640,0.000,2.740,356.030,277.631,359.064,0.824,"Cube.009 from [26.32] to [29.12]"
6.640,0.000,2.740,356.027,277.631,359.075,0.824,,6.640,0.000,2.740,356.027,277.631,359.075,0.824,,6.640,0.000,2.740,356.027,277.631,359.075,0.824,,6.640,0.000,2.740,356.027,277.631,359.075,0.824,
6.640,0.000,2.740,356.032,277.634,359.069,0.824,,6.640,0.000,2.740,356.032,277.634,359.069,0.824,,6.640,0.000,2.740,356.032,277.634,359.069,0.824,,6.640,0.000,2.740,356.032,277.634,359.069,0.824,
6.640,0.000,2.740,356.025,277.645,359.075,0.824,,6.640,0.000,2.740,356.025,277.645,359.075,0.824,,6.640,0.000,2.740,356.025,277.645,359.075,0.824,,6.640,0.000,2.740,356.025,277.645,359.075,0.824,
6.640,0.000,2.740,356.013,277.624,359.074,0.824,,6.640,0.000,2.740,356.013,277.624,359.074,0.824,,6.640,0.000,2.740,356.013,277.624,359.074,0.824,,6.640,0.000,2.740,356.013,277.624,359.074,0.824,
6.640,0.000,2.740,356.023,277.639,359.070,0.824,,6.640,0.000,2.740,356.023,277.639,359.070,0.824,,6.640,0.000,2.740,356.023,277.639,359.070,0.824,,6.640,0.000,2.740,356.023,277.639,359.070,0.824,
6.640,0.000,2.740,356.022,277.634,359.073,0.824,,6.640,0.000,2.740,356.022,277.634,359.073,0.824,,6.640,0.000,2.740,356.022,277.634,359.073,0.824,,6.640,0.000,2.740,356.022,277.634,359.073,0.824,
6.640,0.000,2.740,356.005,277.631,359.072,0.824,,6.640,0.000,2.740,356.005,277.631,359.072,0.824,,6.640,0.000,2.740,356.005,277.631,359.072,0.824,,6.640,0.000,2.740,356.005,277.631,359.072,0.824,
6.640,0.000,2.740,356.015,277.634,359.092,0.824,,6.640,0.000,2.740,356.015,277.634,359.092,0.824,,6.640,0.000,2.740,356.015,277.634,359.092,0.824,,6.640,0.000,2.740,356.015,277.634,359.092,0.824,
6.640,0.000,2.740,356.015,277.634,359.073,0.824,,6.640,0.000,2.740,356.015,277.634,359.073,0.824,,6.640,0.000,2.740,356.015,277.634,359.073,0.824,,6.640,0.000,2.740,356.015,277.634,359.073,0.824,
6.640,0.000,2.740,356.012,277.640,359.074,0.824,,6.640,0.000,2.740,356.012,277.640,359.074,0.824,,6.640,0.000,2.740,356.012,277.640,359.074,0.824,,6.640,0.000,2.740,356.012,277.640,359.074,0.824,
6.640,0.000,2.740,356.033,277.631,359.077,0.824,,6.640,0.000,2.740,356.033,277.631,359.077,0.824,,6.640,0.000,2.740,356.033,277.631,359.077,0.824,,6.640,0.000,2.740,356.033,277.631,359.077,0.824,
6.640,0.000,2.740,356.017,277.647,359.078,0.824,,6.640,0.000,2.740,356.017,277.647,359.078,0.824,,6.640,0.000,2.740,356.017,277.647,359.078,0.824,,6.640,0.000,2.740,356.017,277.647,359.078,0.824,
6.640,0.000,2.740,356.018,277.637,359.081,0.824,,6.640,0.000,2.740,356.018,277.637,359.081,0.824,,6.640,0.000,2.740,356.018,277.637,359.081,0.824,,6.640,0.000,2.740,356.018,277.637,359.081,0.824,
6.640,0.000,2.740,356.006,277.629,359.074,0.824,,6.640,0.000,2.740,356.006,277.629,359.074,0.824,,6.640,0.000,2.740,356.006,277.629,359.074,0.824,,6.640,0.000,2.740,356.006,277.629,359.074,0.824,
