"Player Position X";"Player Position Y";"Player Position Z";"Head Rotation X";"Head Rotation Y";"Head Rotation Z";"Player Height";"Object Viewed"
5.830;0.000;3.733;306.104;275.740;359.251;0.821;"Ceiling from [24.73] to [26.88]"
5.830;0.000;3.733;306.116;275.725;359.257;0.821;"SmokePlane (14) from [26.88] to [27.96]"
5.830;0.000;3.733;306.094;275.736;359.250;0.821;"Cube.009 from [27.96] to [28.21]"
5.830;0.000;3.733;306.105;275.741;359.240;0.821;"Door from [28.21] to [28.44]"
5.830;0.000;3.733;306.109;275.744;359.241;0.821;"SmokePlane (16) from [28.44] to [28.54]"
5.830;0.000;3.733;306.106;275.741;359.249;0.821;"Door from [28.54] to [28.76]"
5.830;0.000;3.733;306.106;275.737;359.260;0.821;"Plane from [28.76] to [29.24]"
5.830;0.000;3.733;306.114;275.751;359.252;0.821;"Grid.002 from [29.24] to [29.34]"
5.830;0.000;3.733;306.099;275.718;359.265;0.821;"Plane from [29.34] to [29.45]"
5.830;0.000;3.733;306.121;275.714;359.269;0.821;"Grid.002 from [29.45] to [29.56]"
5.830;0.000;3.733;306.109;275.730;359.257;0.821;"Grid.001 from [29.56] to [29.79]"
5.830;0.000;3.733;306.253;275.208;359.258;0.821;"SmokePlane (23) from [29.79] to [29.90]"
5.830;0.000;3.733;306.182;275.249;359.247;0.821;"Cube.001 from [29.90] to [30.03]"
5.830;0.000;3.733;306.139;275.210;359.219;0.821;"Cube.006 from [30.03] to [30.13]"
5.830;0.000;3.733;306.107;275.381;359.277;0.821;"SmokePlane (16) from [30.13] to [30.25]"
5.830;0.000;3.733;306.099;275.481;359.248;0.821;"Cube.009 from [30.25] to [30.47]"
5.830;0.000;3.733;307.699;275.104;359.249;0.822;"SmokePlane (14) from [30.47] to [30.59]"
5.830;0.000;3.733;322.409;275.490;359.286;0.823;"Cube from [30.59] to [31.83]"
5.830;0.000;3.733;333.893;276.279;359.254;0.823;"Ceiling from [31.83] to [32.84]"
5.830;0.000;3.733;356.602;277.540;359.216;0.823;"Cube.003 from [32.84] to [33.28]"
5.830;0.000;3.733;349.740;276.711;359.776;0.824;"SmokePlane (25) from [33.28] to [33.39]"
5.830;0.000;3.733;354.180;277.436;356.604;0.820;"SmokePlane (23) from [33.39] to [33.81]"
5.830;0.000;3.733;355.965;276.802;359.089;0.823;"Cube.007 from [33.81] to [33.94]"
5.830;0.000;3.733;356.315;275.788;359.260;0.823;"Plane from [33.94] to [34.39]"
5.830;0.000;3.733;355.357;274.354;359.070;0.823;"Grid from [34.39] to [34.62]"
5.830;0.000;3.733;355.709;273.222;359.202;0.823;"Ground from [34.62] to [34.96]"
5.830;0.000;3.733;355.636;265.635;359.129;0.823;"SmokePlane (14) from [34.96] to [39.34]"
5.830;0.000;3.733;354.970;250.938;359.322;0.823;"SmokePlane (16) from [39.34] to [42.56]"
5.830;0.000;3.733;354.811;243.423;359.129;0.823;
5.830;0.000;3.733;354.616;232.487;359.113;0.824;
5.830;0.000;3.733;354.671;230.180;359.083;0.824;
5.830;0.000;3.733;354.756;227.629;359.006;0.824;
5.830;0.000;3.733;355.466;229.892;359.065;0.824;
5.830;0.000;3.733;356.663;232.011;359.163;0.824;
5.830;0.000;3.733;6.173;237.593;359.883;0.834;
5.830;0.000;3.733;8.432;236.915;351.535;0.875;
5.830;0.000;3.733;8.419;237.395;345.799;0.927;
5.830;0.000;3.733;10.365;237.967;340.725;1.011;
5.830;0.000;3.733;11.140;234.204;332.562;1.089;
5.830;0.000;3.733;15.219;226.507;329.022;1.142;
5.830;0.000;3.733;16.083;217.854;331.804;1.155;
5.830;0.000;3.733;18.067;201.261;337.396;1.169;
5.830;0.000;3.733;22.482;181.039;349.968;1.174;
5.830;0.000;3.733;22.137;179.000;352.075;1.173;
5.830;0.000;3.733;17.992;183.442;351.945;1.176;
5.830;0.000;3.733;12.183;200.561;353.000;1.182;
5.830;0.000;3.733;6.724;230.600;346.947;1.195;
5.830;0.000;3.733;4.806;246.378;338.783;1.205;
5.830;0.000;3.733;7.476;260.651;333.514;1.218;
5.830;0.000;3.733;11.188;278.289;324.614;1.228;
5.830;0.000;3.733;13.841;294.781;324.224;1.229;
5.830;0.000;3.733;15.222;303.899;322.532;1.227;
5.830;0.000;3.733;15.765;313.830;320.569;1.224;
5.830;0.000;3.733;14.078;319.699;320.523;1.220;
5.830;0.000;3.733;6.909;330.629;316.866;1.222;
5.830;0.000;3.733;355.816;341.794;305.462;1.239;
5.830;0.000;3.733;344.433;352.203;290.436;1.262;
5.830;0.000;3.733;331.131;4.079;273.438;1.286;
5.830;0.000;3.733;319.565;17.841;254.220;1.305;
5.830;0.000;3.733;315.053;24.935;243.307;1.306;
5.830;0.000;3.733;306.087;38.061;222.668;1.306;
5.830;0.000;3.733;294.651;51.187;199.217;1.302;
5.830;0.000;3.733;288.787;72.132;167.972;1.293;
5.830;0.000;3.733;288.313;118.257;112.654;1.279;
5.830;0.000;3.733;298.173;156.532;61.337;1.253;
5.830;0.000;3.733;303.483;172.024;30.930;1.240;
5.830;0.000;3.733;307.933;176.334;21.672;1.234;
5.830;0.000;3.733;315.133;175.025;13.502;1.221;
5.830;0.000;3.733;318.310;157.475;19.315;1.194;
5.830;0.000;3.733;321.703;149.571;20.610;1.172;
5.830;0.000;3.733;333.004;151.181;12.989;1.135;
5.830;0.000;3.733;341.819;154.874;9.137;1.105;
5.830;0.000;3.733;343.926;156.094;4.680;1.098;
5.830;0.000;3.733;343.095;158.178;2.164;1.102;
5.830;0.000;3.733;342.863;165.543;359.591;1.101;
5.830;0.000;3.733;348.785;173.621;0.096;1.086;
5.830;0.000;3.733;352.461;189.758;357.775;1.076;
5.830;0.000;3.733;353.357;209.755;350.117;1.087;
5.830;0.000;3.733;356.599;213.084;345.702;1.094;
5.830;0.000;3.733;7.086;217.664;337.044;1.110;
5.830;0.000;3.733;18.677;214.326;332.667;1.120;
5.830;0.000;3.733;22.737;211.819;331.882;1.124;
