"Player Position X {0.100}";"Player Position Y {0.100}";"Player Position Z {0.100}";"Head Rotation X {0.100}";"Head Rotation Y {0.100}";"Head Rotation Z {0.100}";"Player Height {0.100}";"Object Viewed {0.100}"
5.400;0.000;3.973;349.895;229.867;10.165;0.992;"Door from [27.45] to [27.69]"
5.400;0.000;3.837;346.240;230.906;11.769;0.967;"Cube.009 from [27.69] to [27.80]"
5.400;0.000;3.837;341.151;223.673;16.848;0.914;"SmokePlane (16) from [27.80] to [27.90]"
5.400;0.000;3.837;338.069;215.023;19.979;0.907;"SmokePlane (23) from [27.90] to [28.00]"
5.400;0.000;3.837;336.660;211.644;21.727;0.913;"Ceiling from [28.00] to [29.39]"
5.400;0.000;3.837;332.039;211.040;13.882;0.926;"Cube from [29.39] to [29.73]"
5.400;0.000;3.837;325.259;211.741;3.421;0.945;"SmokePlane (14) from [29.73] to [29.99]"
5.400;0.000;3.837;319.604;208.599;3.317;0.958;"Cube.009 from [29.99] to [30.10]"
5.400;0.000;3.837;317.009;208.784;2.157;0.962;"Door from [30.10] to [30.21]"
5.400;0.000;3.837;312.488;211.468;357.632;0.981;"SmokePlane (23) from [30.21] to [30.65]"
5.400;0.000;3.837;305.991;218.411;349.014;1.005;"Big Window from [30.65] to [30.76]"
5.400;0.000;3.837;296.289;229.434;340.009;1.031;"Cube.003 from [30.76] to [31.67]"
5.400;0.000;3.837;294.985;238.121;336.813;1.036;"FancyChair.003 from [31.67] to [31.78]"
5.400;0.000;3.837;298.030;242.846;335.429;1.031;"Cube.003 from [31.78] to [32.02]"
5.400;0.000;3.837;306.886;256.709;326.491;1.019;"SmokePlane (23) from [32.02] to [32.24]"
5.401;0.000;3.707;310.317;262.274;326.587;1.013;"SmokePlane (16) from [32.24] to [32.47]"
5.401;0.000;3.707;318.261;268.914;335.531;0.989;"Door from [32.47] to [32.58]"
5.401;0.000;3.707;323.150;276.205;342.043;0.963;"Cube.009 from [32.58] to [33.08]"
5.401;0.000;3.707;326.963;277.820;351.438;0.937;"Ceiling from [33.08] to [34.12]"
5.401;0.000;3.707;331.340;275.549;0.912;0.911;"SmokePlane (23) from [34.12] to [34.37]"
5.401;0.000;3.707;341.961;272.192;6.857;0.872;"Grid.001 from [34.37] to [34.48]"
5.401;0.000;3.707;350.425;264.395;7.284;0.848;"Grid from [34.48] to [35.52]"
5.401;0.000;3.707;348.553;252.560;10.160;0.845;"Cube.009 from [35.52] to [35.65]"
5.401;0.000;3.707;346.459;228.826;13.402;0.842;"SmokePlane (14) from [35.65] to [35.85]"
5.401;0.000;3.707;346.944;205.558;14.508;0.837;"Cube from [35.85] to [38.06]"
5.401;0.000;3.707;347.827;185.460;17.872;0.833;"Ceiling from [38.06] to [39.01]"
5.401;0.000;3.707;346.362;170.650;26.065;0.840;"SmokePlane (23) from [39.01] to [39.79]"
5.401;0.000;3.707;343.854;161.305;26.785;0.846;"Grid from [39.79] to [40.39]"
5.401;0.000;3.707;342.179;142.905;36.544;0.843;"Cube.006 from [40.39] to [40.52]"
5.401;0.000;3.707;340.395;140.549;25.897;0.847;"SmokePlane (23) from [40.52] to [40.85]"
5.401;0.000;3.707;331.144;128.967;23.340;0.862;"SmokePlane (16) from [40.85] to [41.07]"
5.401;0.000;3.707;328.004;114.379;17.984;0.860;"Plane from [41.07] to [41.20]"
5.401;0.000;3.707;331.912;109.148;10.200;0.844;"XR Origin from [41.20] to [43.39]"
5.401;0.000;3.707;337.643;105.998;1.103;0.830;"Plane from [43.39] to [43.50]"
5.401;0.000;3.707;338.666;103.517;358.047;0.826;"SmokePlane (16) from [43.50] to [43.63]"
5.401;0.000;3.707;344.385;102.692;350.481;0.809;"Cube.009 from [43.63] to [43.73]"
5.401;0.000;3.707;350.442;106.256;349.635;0.795;"Ceiling from [43.73] to [44.36]"
5.401;0.000;3.707;0.461;114.109;351.900;0.773;"Cube from [44.36] to [45.72]"
5.401;0.000;3.707;9.482;127.520;359.893;0.751;"Ceiling from [45.72] to [46.48]"
5.401;0.000;3.707;11.555;147.775;11.613;0.737;"SmokePlane (23) from [46.48] to [46.93]"
5.401;0.000;3.707;2.069;177.531;19.611;0.744;"Ceiling from [46.93] to [47.34]"
5.401;0.000;3.707;355.591;202.174;19.153;0.755;"Cube.009 from [47.34] to [47.57]"
5.401;0.000;3.707;358.291;214.738;19.034;0.758;"Ceiling from [47.57] to [47.79]"
5.401;0.000;3.707;2.279;222.687;14.382;0.761;"SmokePlane (14) from [47.79] to [47.91]"
5.401;0.000;3.707;1.058;229.583;6.286;0.762;"Cube.009 from [47.91] to [57.46]"
5.401;0.000;3.707;356.147;237.265;358.698;0.766;
5.401;0.000;3.707;353.071;244.648;358.957;0.769;
5.401;0.000;3.707;352.637;248.300;3.306;0.766;
5.401;0.000;3.707;340.981;246.024;357.509;0.787;
5.401;0.000;3.707;326.834;247.222;350.067;0.834;
5.401;0.000;3.707;318.114;252.650;343.015;0.873;
5.401;0.000;3.707;311.313;259.907;335.883;0.914;
5.401;0.000;3.707;304.678;265.019;328.835;0.941;
5.401;0.000;3.707;299.853;263.520;326.374;0.952;
5.401;0.000;3.707;294.899;258.509;325.398;0.962;
5.401;0.000;3.707;295.445;239.729;333.410;0.957;
5.401;0.000;3.707;304.125;220.992;342.927;0.929;
5.401;0.000;3.707;317.568;209.533;348.843;0.890;
5.401;0.000;3.707;334.882;201.115;355.641;0.834;
5.401;0.000;3.707;354.862;198.964;3.780;0.766;
5.401;0.000;3.707;2.949;198.963;5.546;0.737;
5.401;0.000;3.707;8.203;198.361;5.422;0.725;
5.401;0.000;3.707;10.548;199.072;5.551;0.721;
5.401;0.000;3.707;14.033;202.114;7.334;0.714;
5.401;0.000;3.707;14.690;208.424;11.307;0.711;
5.401;0.000;3.707;10.918;225.004;19.033;0.711;
5.401;0.000;3.707;7.966;226.848;22.624;0.720;
5.401;0.000;3.707;4.497;231.437;25.403;0.730;
5.401;0.000;3.707;5.353;231.483;24.456;0.730;
5.401;0.000;3.707;5.108;228.850;28.893;0.741;
5.401;0.000;3.707;358.738;238.561;30.220;0.790;
5.401;0.000;3.707;346.340;257.305;24.066;0.845;
5.401;0.000;3.707;339.551;269.013;20.117;0.868;
5.401;0.000;3.707;332.917;273.896;20.387;0.884;
5.401;0.000;3.707;329.951;277.491;22.294;0.889;
5.401;0.000;3.707;330.112;284.477;19.676;0.889;
5.401;0.000;3.707;333.706;282.502;20.215;0.883;
5.401;0.000;3.707;335.267;280.270;20.190;0.879;
5.401;0.000;3.707;332.640;279.751;20.909;0.885;
5.401;0.000;3.707;323.650;282.727;24.718;0.906;
5.401;0.000;3.707;309.932;296.232;26.463;0.933;
5.401;0.000;3.707;296.751;312.914;22.849;0.954;
5.401;0.000;3.568;296.475;323.067;17.782;0.956;
5.401;0.000;3.568;299.335;325.328;16.858;0.953;
5.401;0.000;3.568;294.356;329.430;18.266;0.962;
5.401;0.000;3.568;287.803;348.339;4.413;0.972;
5.401;0.000;3.568;288.766;12.909;346.285;0.964;
5.401;0.000;3.568;292.115;16.478;346.432;0.952;
5.401;0.000;3.568;291.360;15.236;350.323;0.954;
5.401;0.000;3.568;291.701;15.044;348.842;0.954;
5.401;0.000;3.568;288.823;14.820;348.410;0.957;
5.401;0.000;3.568;282.972;11.692;351.532;0.961;
5.401;0.000;3.568;272.036;340.892;20.548;0.976;
5.401;0.000;3.568;281.222;204.493;154.260;0.993;
5.401;0.000;3.568;289.046;199.231;154.593;1.001;
5.401;0.000;3.568;294.189;188.738;160.856;0.999;
5.401;0.000;3.568;297.926;181.464;168.377;0.996;
5.401;0.000;3.568;307.098;177.492;167.669;0.992;
5.401;0.000;3.568;314.729;175.284;156.970;0.987;
5.401;0.000;3.568;327.101;170.167;137.941;0.965;
5.401;0.000;3.568;332.505;164.193;111.714;0.934;
5.401;0.000;3.568;332.435;160.282;81.740;0.896;
5.401;0.000;3.568;337.478;162.987;59.945;0.856;
5.401;0.000;3.568;342.202;165.017;59.403;0.833;
5.401;0.000;3.568;348.947;166.843;55.508;0.789;
5.401;0.000;3.568;356.142;170.752;30.325;0.747;
5.401;0.000;3.568;5.866;173.228;12.569;0.727;
5.401;0.000;3.568;19.658;177.062;9.961;0.703;
5.401;0.000;3.568;26.451;185.479;18.451;0.697;
5.401;0.000;3.568;28.407;189.085;23.348;0.705;
5.401;0.000;3.568;23.477;189.579;23.023;0.721;
5.401;0.000;3.568;13.735;188.206;19.056;0.738;
5.401;0.000;3.568;358.478;189.970;12.825;0.762;
5.401;0.000;3.568;346.982;194.499;13.349;0.789;
5.401;0.000;3.568;337.714;200.546;15.268;0.819;
5.401;0.000;3.568;333.990;211.088;13.043;0.835;
5.401;0.000;3.568;340.234;216.245;19.047;0.828;
5.401;0.000;3.568;355.284;226.444;30.442;0.812;
5.401;0.000;3.568;5.713;224.885;30.708;0.807;
5.401;0.000;3.568;18.589;216.539;27.296;0.806;
5.401;0.000;3.568;23.703;217.693;26.907;0.811;
5.401;0.000;3.568;25.247;222.585;35.815;0.817;
5.401;0.000;3.568;27.011;225.905;40.999;0.820;
5.401;0.000;3.568;29.646;225.552;41.656;0.823;
5.401;0.000;3.568;34.568;225.658;39.966;0.820;
5.401;0.000;3.568;44.824;229.787;46.384;0.815;
5.401;0.000;3.568;47.175;233.685;51.629;0.823;
5.401;0.000;3.568;46.767;237.381;54.285;0.825;
5.401;0.000;3.568;47.736;237.698;55.930;0.823;
5.401;0.000;3.568;51.491;249.929;68.358;0.826;
5.401;0.000;3.568;51.686;261.710;80.350;0.837;
5.401;0.000;3.568;53.647;273.589;91.025;0.852;
5.401;0.000;3.568;54.351;274.909;90.858;0.857;
5.401;0.000;3.568;55.184;270.308;84.091;0.865;
5.401;0.000;3.568;54.596;267.900;79.074;0.881;
5.401;0.000;3.568;54.461;268.243;79.074;0.901;
5.401;0.000;3.568;48.547;240.608;47.107;0.909;
5.401;0.000;3.568;34.666;226.306;26.687;0.933;
5.401;0.000;3.568;14.524;222.994;19.869;0.985;
5.401;0.000;3.568;3.815;223.658;22.063;1.010;
5.401;0.000;3.568;340.336;228.819;24.257;1.062;
5.401;0.000;3.568;333.491;229.127;21.087;1.072;
5.401;0.000;3.568;332.425;231.734;16.458;1.072;
5.401;0.000;3.568;332.245;238.118;16.388;1.070;
5.401;0.000;3.568;331.351;248.060;17.454;1.065;
5.401;0.000;3.568;326.179;262.634;15.608;1.068;
5.401;0.000;3.568;322.387;289.228;6.612;1.064;
5.401;0.000;3.568;322.733;295.552;5.274;1.058;
5.401;0.000;3.568;322.228;298.232;2.908;1.055;
5.401;0.000;3.568;319.369;306.456;357.132;1.057;
5.401;0.000;3.568;314.515;329.632;348.196;1.055;
5.401;0.000;3.568;314.438;351.342;340.280;1.040;
5.401;0.000;3.568;318.439;7.997;335.629;1.018;
5.401;0.000;3.568;319.063;25.826;330.889;0.996;
5.401;0.000;3.568;315.432;40.854;323.678;0.985;
5.401;0.000;3.568;307.703;49.702;315.791;0.983;
5.401;0.000;3.568;297.037;56.102;303.187;0.993;
5.401;0.000;3.568;285.812;65.011;284.035;1.010;
5.401;0.000;3.568;280.377;121.170;219.023;1.026;
5.401;0.000;3.568;285.889;130.645;203.478;1.025;
5.401;0.000;3.568;290.716;130.281;193.706;1.023;
5.401;0.000;3.568;294.719;142.189;158.075;1.022;
5.401;0.000;3.568;299.559;176.995;93.458;0.999;
5.401;0.000;3.568;313.399;197.041;52.757;0.967;
5.401;0.000;3.568;341.140;193.549;11.399;0.914;
5.401;0.000;3.568;342.223;185.517;7.549;0.916;
5.401;0.000;3.568;338.748;178.883;13.007;0.925;
5.401;0.000;3.568;333.151;180.675;14.339;0.951;
5.401;0.000;3.568;328.203;188.560;4.049;1.002;
5.401;0.000;3.568;327.324;197.740;354.767;1.058;
5.401;0.000;3.568;329.473;209.928;352.439;1.126;
5.401;0.000;3.568;333.559;225.518;355.972;1.163;
5.401;0.000;3.568;334.998;240.172;357.735;1.151;
5.401;0.000;3.568;332.701;263.417;354.863;1.108;
5.401;0.000;3.568;326.484;281.151;352.634;1.040;
5.401;0.000;3.568;329.324;280.653;352.260;1.000;
5.401;0.000;3.568;339.592;271.926;357.083;0.957;
5.401;0.000;3.654;347.049;262.028;0.787;0.919;
5.401;0.000;3.654;350.882;255.033;357.161;0.894;
