"Baba X",-2.397
"Baba Y",2.667
"Baba Z",-0.282
"Baba Rot X",83.677
"Baba Rot Y",11.751
"Baba Rot Z",14.669
"Baba Height",2.667
"Baba 1 X",-2.468
"Baba 1 Y",3.016
"Baba 1 Z",0.140
"Baba 1 Rot X",46.769
"Baba 1 Rot Y",44.149
"Baba 1 Rot Z",53.808
"Baba 2 X",-2.717
"Baba 2 Y",2.389
"Baba 2 Z",0.349
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
"Baba 2 Rot X",338.469
"Baba 2 Rot Y",183.706
"Baba 2 Rot Z",195.033
