"Baba X",-2.398,-2.398,-2.398,-2.398,-2.398,-2.397,-2.397,-2.397,-2.397,-2.397
"Baba Y",2.249,2.522,2.859,3.180,3.368,3.461,3.444,3.328,3.087,2.765
"Baba Z",0.198,0.242,0.342,0.304,0.229,0.146,0.071,-0.004,-0.086,-0.162
"Baba Rot X",4.912,21.209,35.762,0.419,320.876,277.766,302.440,341.955,25.460,64.947
"Baba Rot Y",0.000,0.009,-0.001,359.409,0.202,17.487,171.503,173.743,173.584,170.098
"Baba Rot Z",0.002,0.058,359.926,358.266,355.999,337.574,182.580,179.133,176.916,172.300
"Baba Height",2.249,2.522,2.859,3.180,3.368,3.461,3.444,3.328,3.087,2.765
"Baba 1 X",-2.463,-2.463,-2.463,-2.463,-2.464,-2.465,-2.465,-2.466,-2.467,-2.468
"Baba 1 Y",2.281,2.516,2.809,3.244,3.591,3.859,3.919,3.808,3.571,3.253
"Baba 1 Z",-0.221,-0.257,-0.361,-0.278,-0.136,0.020,0.125,0.142,0.141,0.140
"Baba 1 Rot X",354.216,338.331,320.136,339.309,24.705,74.915,84.039,74.288,65.113,53.911
"Baba 1 Rot Y",33.246,29.080,23.876,2.891,8.049,5.167,134.655,96.528,63.130,49.385
"Baba 1 Rot Z",324.339,348.400,344.101,357.028,349.911,339.337,116.000,97.870,67.739,57.090
"Baba 2 X",-2.717,-2.717,-2.717,-2.717,-2.717,-2.717,-2.717,-2.717,-2.717,-2.717
"Baba 2 Y",2.291,2.554,2.880,3.164,3.313,3.364,3.307,3.152,2.868,2.516
"Baba 2 Z",0.181,0.212,0.302,0.293,0.247,0.197,0.151,0.105,0.055,0.036
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
"Baba 2 Rot X",6.382,15.586,23.251,32.674,38.366,32.339,18.384,0.369,338.811,334.496
"Baba 2 Rot Y",33.825,35.729,46.467,61.832,85.091,110.702,126.173,134.306,136.459,149.290
"Baba 2 Rot Z",322.232,359.781,22.366,42.516,73.308,107.203,131.050,149.532,168.026,180.454
