"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
4.948,0.000,11.191,351.785,232.773,356.352,1.401,"Wall_bathroom_door_303 from [59.04] to [59.43]","Begining : [59.0]"
4.948,0.000,11.191,350.098,229.505,356.201,1.404,"Wall_north_303 from [59.43] to [60.64]",
4.948,0.000,11.191,349.369,222.212,356.373,1.406,"Cushion_east_303 from [60.64] to [60.80]",
4.948,0.000,11.191,349.608,208.899,357.383,1.408,"Duvet02_303 from [60.80] to [60.93]",
4.948,0.000,11.191,350.102,197.653,357.760,1.408,"Wall_bathroom_door_303 from [60.93] to [61.08]",
4.948,0.000,11.191,350.509,188.451,358.454,1.408,"Cupboard_303 from [61.08] to [61.24]",
4.948,0.000,11.191,350.598,178.231,359.330,1.408,"Door_303 from [61.24] to [61.56]",
4.948,0.000,11.191,350.644,164.772,0.026,1.407,"Closet_door_left_303 from [61.56] to [61.70]",
4.948,0.000,11.191,351.220,152.577,0.662,1.406,"Closet_303 from [61.70] to [62.01]",
4.948,0.000,11.191,352.313,148.028,0.819,1.404,"Closet_door_left_303 from [62.01] to [62.15]",
4.948,0.000,11.191,354.197,154.674,359.990,1.401,"Cube.014 from [62.15] to [62.30]",
4.948,0.000,11.191,356.986,163.300,358.580,1.397,"Door_303 from [62.30] to [66.12]",
4.948,0.000,11.191,10.640,187.783,356.707,1.376,"NPC Evacuation Trigger from [66.12] to [66.74]",
4.948,0.000,11.191,17.168,200.457,357.495,1.364,"SmokePlane (11) from [66.74] to [66.87]",
4.948,0.000,11.191,16.284,227.193,359.107,1.364,"SmokePlane (07) from [66.87] to [66.99]",
4.948,0.000,11.191,12.601,251.677,0.566,1.367,"SmokePlane (23) from [66.99] to [67.11]",
4.948,0.000,11.191,10.899,262.025,0.957,1.367,"NPC Evacuation Trigger from [67.11] to [67.58]",
4.851,0.000,11.115,10.760,260.789,0.875,1.366,"TriggerZone HelpingChoice from [67.58] to [68.78]",
4.696,0.000,10.988,10.390,257.786,0.587,1.367,"SmokePlane (24) from [68.78] to [69.72]",
4.552,0.000,10.875,10.499,258.212,1.014,1.367,"Wall_door_304 from [69.72] to [69.83]",
