"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
7.138,0.000,2.187,26.788,115.379,12.098,1.444,"Small_Window_North_307 from [167.27] to [167.39]","Begining : [167.3]"
7.138,0.000,2.187,26.343,96.793,11.923,1.445,"Wall_window_307 from [167.39] to [167.60]",
7.138,0.000,2.187,24.506,73.483,10.140,1.450,"Small_Window_South_307 from [167.60] to [167.94]",
7.138,0.000,2.187,22.704,50.103,7.544,1.453,"Wall_window_307 from [167.94] to [168.16]",
7.138,0.000,2.187,21.454,36.848,6.627,1.455,"Wall_south_307 from [168.16] to [168.38]",
7.138,0.000,2.187,20.405,28.478,5.547,1.457,"Old_chair_back_307 from [168.38] to [168.50]",
7.138,0.000,2.187,20.988,20.235,5.631,1.455,"Wall_south_307 from [168.50] to [169.39]",
7.138,0.000,2.187,21.119,13.402,5.515,1.454,"Ground_307 from [169.39] to [169.52]",
7.138,0.000,2.187,21.327,5.839,5.234,1.454,"Plaid_307 from [169.52] to [169.64]",
7.138,0.000,2.187,21.642,358.215,4.643,1.453,"Duvet01_307 from [169.64] to [170.60]",
7.138,0.000,2.187,20.748,350.865,4.731,1.454,"Ground_307 from [170.60] to [171.11]",
7.138,0.000,2.187,17.772,341.786,6.470,1.459,"Old_chair_leg_back_307.01 from [171.11] to [171.35]",
7.138,0.000,2.187,12.998,334.394,8.620,1.468,"Old_chair_back_307 from [171.35] to [171.47]",
7.138,0.000,2.187,5.926,329.657,11.897,1.482,"Wall_south_307 from [171.47] to [173.19]",
7.138,0.000,2.187,359.084,325.724,15.166,1.494,"Wall_window_307 from [173.19] to [173.86]",
7.138,0.000,2.187,359.430,322.200,16.733,1.493,"Bedside_table_307 from [173.86] to [173.97]",
7.138,0.000,2.187,3.800,320.229,15.596,1.485,"Cushion_west_307 from [173.97] to [174.19]",
7.138,0.000,2.187,8.239,317.788,14.015,1.478,"Cushion_middle_307 from [174.19] to [174.30]",
7.138,0.000,2.187,13.104,314.250,12.739,1.468,"Cushion_east_307 from [174.30] to [174.42]",
7.138,0.000,2.187,24.355,313.006,12.088,1.445,"Wall_north_307 from [174.42] to [174.53]",
7.138,0.000,2.187,32.266,313.898,11.214,1.428,"Bathroom_door_307 from [174.53] to [174.75]",
7.138,0.000,2.187,34.209,315.121,10.617,1.423,"Wall_door_bathroom_307 from [174.75] to [174.97]",
7.138,0.000,2.187,35.348,315.395,10.303,1.421,"Closet_door_right_307 from [174.97] to [175.08]",
7.138,0.000,2.187,35.379,315.879,9.371,1.421,"Door_307 from [175.08] to [175.75]",
7.138,0.000,2.187,35.115,314.856,8.399,1.421,"SmokePlane (26) from [175.75] to [178.41]",
7.129,0.000,2.200,34.995,315.267,8.079,1.421,"Door_307 from [178.41] to [178.86]",
7.076,0.000,2.219,35.021,317.032,8.081,1.421,"SmokePlane (5) from [178.86] to [179.75]",
6.965,0.000,2.268,35.843,320.742,7.787,1.420,"Door_307 from [179.75] to [181.04]",
6.861,0.000,2.322,38.741,325.074,7.322,1.414,"SmokePlane (5) from [181.04] to [181.16]",
6.725,0.000,2.418,44.236,337.866,9.287,1.403,"XR Origin from [181.16] to [181.29]",
6.611,0.000,2.542,46.987,351.929,12.244,1.397,"Door_307 from [181.29] to [181.40]",
6.563,0.000,2.679,48.005,359.737,13.462,1.395,"SmokePlane (5) from [181.40] to [181.73]",
6.556,0.000,2.826,47.950,7.740,14.806,1.395,"NPC Evacuation Trigger from [181.73] to [181.84]",
6.565,0.000,2.972,47.191,12.877,15.099,1.398,"SmokePlane (5) from [181.84] to [182.93]",
6.590,0.000,3.119,47.394,14.886,14.923,1.397,"NPC Evacuation Trigger from [182.93] to [183.50]",
6.623,0.000,3.268,47.612,18.688,14.919,1.398,"TriggerZone HelpingChoice from [183.50] to [183.61]",
6.651,0.000,3.424,47.940,20.911,14.428,1.397,"SmokePlane (6) from [183.61] to [183.96]",
6.683,0.000,3.576,48.231,23.776,14.239,1.397,"SmokePlane (08) from [183.96] to [184.06]",
6.650,0.000,3.690,47.758,22.097,14.073,1.398,"SmokePlane (6) from [184.06] to [184.32]",
6.613,0.000,3.849,46.250,7.024,9.922,1.401,"SmokePlane (15) from [184.32] to [187.32]",
