"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
4.430,0.000,3.690,353.623,255.424,358.862,0.822,"Cube.009 from [59.65] to [65.11]","Begining : [59.7]"
4.430,0.000,3.690,353.618,255.422,358.868,0.822,"SmokePlane (14) from [65.11] to [65.90]",
4.430,0.000,3.690,353.624,255.422,358.864,0.822,"Cube from [65.90] to [73.48]",
4.430,0.000,3.690,353.632,255.414,358.869,0.822,"Cube.004 from [73.48] to [73.75]",
4.430,0.000,3.690,353.641,255.429,358.864,0.822,"SmokePlane (16) from [73.75] to [73.87]",
4.430,0.000,3.690,353.637,255.406,358.866,0.822,"Door Left from [73.87] to [73.98]",
4.430,0.000,3.690,353.643,255.399,358.862,0.822,,
4.430,0.000,3.690,353.643,255.387,358.870,0.822,,
4.430,0.000,3.690,353.632,255.385,358.873,0.822,,
4.430,0.000,3.690,353.631,255.374,358.884,0.822,,
4.430,0.000,3.690,353.657,255.379,358.880,0.822,,
4.430,0.000,3.690,353.643,255.371,358.877,0.822,,
4.430,0.000,3.690,353.631,255.380,358.870,0.822,,
4.430,0.000,3.690,353.663,255.372,358.861,0.822,,
4.430,0.000,3.690,353.662,255.373,358.845,0.822,,
4.430,0.000,3.690,353.638,255.347,358.861,0.822,,
4.430,0.000,3.690,353.626,255.341,358.887,0.823,,
4.430,0.000,3.690,353.631,255.319,358.872,0.822,,
4.430,0.000,3.690,353.626,255.332,358.887,0.823,,
4.430,0.000,3.690,353.618,255.322,358.888,0.823,,
4.430,0.000,3.690,353.627,255.330,358.885,0.823,,
4.430,0.000,3.690,353.622,255.333,358.888,0.823,,
4.430,0.000,3.690,353.617,255.350,358.891,0.823,,
4.430,0.000,3.690,353.640,255.344,358.876,0.823,,
4.430,0.000,3.690,353.640,255.352,358.875,0.823,,
4.430,0.000,3.690,353.639,255.315,358.892,0.823,,
4.430,0.000,3.690,353.626,255.307,358.905,0.823,,
4.430,0.000,3.690,353.625,255.340,358.889,0.823,,
4.430,0.000,3.690,353.627,255.317,358.900,0.823,,
4.430,0.000,3.690,353.631,255.312,358.912,0.823,,
4.430,0.000,3.690,353.617,255.315,358.918,0.823,,
4.430,0.000,3.690,353.628,255.305,358.916,0.823,,
4.430,0.000,3.690,353.634,255.335,358.912,0.823,,
4.430,0.000,3.690,353.633,255.334,358.920,0.823,,
4.430,0.000,3.690,353.614,255.317,358.924,0.823,,
4.430,0.000,3.690,353.618,255.317,358.938,0.823,,
4.430,0.000,3.690,353.631,255.337,358.921,0.823,,
4.430,0.000,3.690,353.629,255.365,358.937,0.823,,
4.430,0.000,3.690,353.659,255.338,358.914,0.823,,
4.430,0.000,3.690,353.659,255.344,358.926,0.823,,
4.430,0.000,3.690,353.659,255.345,358.925,0.823,,
4.430,0.000,3.690,353.665,255.342,358.922,0.823,,
4.430,0.000,3.690,353.646,255.337,358.929,0.823,,
4.430,0.000,3.690,353.651,255.349,358.925,0.823,,
4.430,0.000,3.690,353.634,255.334,358.956,0.823,,
4.430,0.000,3.690,353.574,255.175,358.947,0.823,,
4.430,0.000,3.690,353.997,259.381,0.438,0.806,,
4.430,0.000,3.690,354.803,262.466,359.375,0.833,,
4.430,0.000,3.690,355.628,266.635,359.972,0.826,,
4.430,0.000,3.690,355.896,274.030,0.920,0.819,,
4.430,0.000,3.690,355.526,275.366,0.343,0.842,,
4.430,0.000,3.690,355.156,274.746,359.641,0.831,,
4.430,0.000,3.690,355.207,277.813,359.909,0.826,,
4.430,0.000,3.690,355.592,281.681,359.487,0.858,,
4.430,0.000,3.690,355.508,287.324,359.418,0.862,,
4.430,0.000,3.690,355.257,289.757,358.602,0.874,,
4.430,0.000,3.690,354.937,293.563,359.632,0.847,,
4.430,0.000,3.690,354.160,295.812,359.687,0.849,,
4.430,0.000,3.690,352.867,296.581,356.831,0.891,,
4.430,0.000,3.690,352.472,298.484,355.449,0.872,,
4.430,0.000,3.690,350.814,296.837,353.992,0.872,,
4.430,0.000,3.690,349.683,295.644,354.727,0.863,,
4.430,0.000,3.690,348.419,298.151,354.934,0.867,,
4.430,0.000,3.690,348.874,300.964,356.273,0.871,,
4.430,0.000,3.690,347.174,301.284,354.497,0.893,,
4.430,0.000,3.690,347.742,304.993,353.589,0.873,,
4.430,0.000,3.690,348.257,307.506,353.506,0.904,,
4.430,0.000,3.690,348.120,305.920,351.781,0.892,,
4.430,0.000,3.690,348.580,309.483,353.138,0.900,,
4.430,0.000,3.690,347.751,311.324,352.102,0.912,,
4.430,0.000,3.690,348.223,311.650,350.702,0.900,,
4.430,0.000,3.690,349.142,312.984,350.897,0.904,,
4.430,0.000,3.690,348.805,311.059,350.461,0.889,,
