"Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Height {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}"
3.281,0.000,2.922,31.499,34.236,1.985,1.451,"Wall_south_307 from [156.96] to [157.91]","Begining : [157.0]"
3.293,0.000,3.031,31.213,36.077,0.530,1.452,"Ground_307 from [157.91] to [160.35]",
3.315,0.000,3.155,32.158,39.240,359.786,1.450,"Duvet01_307 from [160.35] to [160.57]",
3.348,0.000,3.295,35.212,43.128,359.224,1.444,"Plaid_307 from [160.57] to [160.91]",
3.393,0.000,3.439,38.916,47.485,358.326,1.436,"Duvet03_307 from [160.91] to [161.02]",
3.446,0.000,3.564,40.435,53.447,359.432,1.433,"Duvet01_307 from [161.02] to [161.13]",
3.498,0.000,3.662,40.682,57.546,359.454,1.432,"Duvet02_307 from [161.13] to [161.46]",
3.574,0.000,3.781,40.889,62.817,0.681,1.432,"Cushion_west_307 from [161.46] to [161.57]",
3.639,0.000,3.869,40.696,65.929,0.935,1.432,"Wall_north_307 from [161.57] to [162.02]",
3.720,0.000,3.960,39.837,70.301,1.542,1.434,"Wall_window_307 from [162.02] to [162.13]",
3.822,0.000,4.046,38.331,75.186,2.559,1.437,"Big Window from [162.13] to [162.57]",
3.885,0.000,4.092,35.465,79.823,2.925,1.443,"Wall_window_307 from [162.57] to [162.80]",
3.885,0.000,4.092,33.012,82.841,2.817,1.448,"Ceiling_307 from [162.80] to [163.84]",
3.885,0.000,4.092,31.891,84.003,2.826,1.450,"Wall_door_bathroom_307 from [163.84] to [164.08]",
3.885,0.000,4.092,33.133,83.687,2.779,1.448,"SmokePlane (26) from [164.08] to [165.00]",
3.885,0.000,4.092,34.437,81.505,2.018,1.445,"Door_307 from [165.00] to [166.27]",
3.885,0.000,4.092,36.193,78.935,0.123,1.442,"SmokePlane (26) from [166.27] to [166.83]",
3.885,0.000,4.092,36.871,78.173,359.404,1.441,"Door_307 from [166.83] to [167.05]",
3.885,0.000,4.092,36.703,78.306,0.052,1.441,"Closet_door_right_307 from [167.05] to [167.16]",
3.885,0.000,4.092,36.955,78.174,0.050,1.440,"Closet_door_left_307 from [167.16] to [167.27]",
3.885,0.000,4.092,37.218,78.794,0.292,1.439,"Closet_307 from [167.27] to [167.38]",
3.885,0.000,4.092,38.382,79.249,0.386,1.437,"Mircrowave_307 from [167.38] to [168.61]",
3.885,0.000,4.092,41.125,79.702,1.529,1.432,"XR Origin from [168.61] to [168.72]",
3.885,0.000,4.092,43.643,80.273,1.523,1.426,"RightHand Controller from [168.72] to [169.83]",
3.885,0.000,4.092,43.379,80.160,0.854,1.427,"Mircrowave_307 from [169.83] to [170.05]",
3.885,0.000,4.092,43.498,80.068,1.014,1.426,"Closet_307 from [170.05] to [170.16]",
3.885,0.000,4.092,43.724,80.505,1.017,1.425,"Closet_door_left_307 from [170.16] to [170.27]",
3.885,0.000,4.092,43.670,81.802,0.719,1.426,"Closet_door_right_307 from [170.27] to [170.38]",
3.885,0.000,4.092,42.049,87.208,359.850,1.430,"SmokePlane (5) from [170.38] to [174.27]",
3.885,0.000,4.092,39.442,99.750,0.175,1.435,"NPC Evacuation Trigger from [174.27] to [174.94]",
3.885,0.000,4.092,37.572,114.258,0.429,1.436,"TriggerZone HelpingChoice from [174.94] to [175.16]",
3.885,0.000,4.092,36.819,126.327,1.159,1.436,"SmokePlane (15) from [175.16] to [175.49]",
3.885,0.000,4.092,35.611,136.733,1.974,1.440,"Wall_door_308 from [175.49] to [175.60]",
3.885,0.000,4.092,32.475,147.667,2.042,1.447,"SmokePlane (5) from [175.60] to [179.38]",
3.885,0.000,4.092,29.883,156.643,1.696,1.456,"SmokePlane (6) from [179.38] to [183.84]",
3.885,0.000,4.092,29.007,163.374,359.507,1.456,"SmokePlane (15) from [183.84] to [186.62]",
3.885,0.000,4.092,30.556,170.108,358.363,1.455,"SmokePlane (5) from [186.62] to [188.84]",
3.885,0.000,4.092,28.163,173.180,359.674,1.459,"SmokePlane (15) from [188.84] to [188.95]",
3.885,0.000,4.092,25.636,169.292,0.254,1.464,"Wall_door_308 from [188.95] to [189.28]",
3.885,0.000,4.092,22.199,165.884,2.082,1.473,"SmokePlane (17) from [189.28] to [190.51]",
3.885,0.000,4.092,12.366,159.530,3.745,1.488,"SmokePlane (28) from [190.51] to [190.73]",
3.885,0.000,4.092,7.949,151.287,4.720,1.495,"SmokePlane (17) from [190.73] to [190.95]",
3.885,0.000,4.092,4.692,144.940,5.573,1.500,"Corridor_floor_east_west from [190.95] to [191.95]",
3.885,0.000,4.092,0.429,138.216,8.078,1.508,"Corridor_floor_marble_02 from [191.95] to [192.28]",
3.885,0.000,4.092,358.923,131.955,9.381,1.511,"Corridor_floor_east_west from [192.28] to [192.50]",
