"Player Height {0.100}","Head Rotation X {0.100}","Head Rotation Y {0.100}","Head Rotation Z {0.100}","Player Position X {0.100}","Player Position Y {0.100}","Player Position Z {0.100}","Object Viewed by Player {0.100}","Simulation Timings {0.200}","Helping Timing {0.100}"
1.592,20.391,175.838,358.158,4.275,0.000,11.233,"Wall_right_311 from [204.11] to [206.18]","Begining : [204.1]"," Helping from [221.85] to [265.89]"
1.591,20.646,174.176,358.516,4.304,0.000,11.368,"Ground_311 from [206.18] to [207.43]",,
1.592,20.491,172.816,358.873,4.364,0.000,11.404,"Wall_right_311 from [207.43] to [207.64]",,
1.594,19.730,171.182,358.742,4.554,0.000,11.433,"Bathroom_Door_311 from [207.64] to [207.83]",,
1.597,18.399,170.084,358.540,4.789,0.000,11.445,"Wall_bathroom_door_311 from [207.83] to [208.02]",,
1.601,16.021,167.072,357.911,5.049,0.000,11.428,"Door_311 from [208.02] to [208.21]",,
1.604,14.917,164.291,357.217,5.291,0.000,11.420,"Door_handle_311 from [208.21] to [208.39]",,
1.605,14.549,163.172,357.087,5.512,0.000,11.403,"Door_frame_right_311 from [208.39] to [208.57]",,
1.605,14.261,169.564,357.841,5.679,0.000,11.300,"Closet_311 from [208.57] to [208.76]",,
1.602,15.666,193.318,0.842,5.679,0.000,11.300,"Closet_door_left_311 from [208.76] to [208.93]",,
1.592,20.275,205.137,3.570,5.679,0.000,11.300,"Door_311 from [208.93] to [209.46]",,
1.580,26.228,191.808,0.783,5.679,0.000,11.300,"SmokePlane (07) from [209.46] to [210.58]",,
1.574,28.782,179.421,357.875,5.679,0.000,11.300,"Door_311 from [210.58] to [213.86]",,
1.573,29.238,180.416,359.769,5.679,0.000,11.300,"NPC_Hurt_TriggerHelp from [213.86] to [215.51]",,
1.572,29.863,181.999,0.389,5.679,0.000,11.300,"NPC Evacuation Trigger from [215.51] to [216.14]",,
1.572,29.883,181.625,359.771,5.679,0.000,11.300,"Wall_door_308 from [216.14] to [216.48]",,
1.574,29.141,184.240,359.755,5.679,0.000,11.300,"Door from [216.48] to [216.61]",,
1.576,28.452,185.939,0.053,5.679,0.000,11.300,"NPC_Hurt_Grabbable from [216.61] to [219.47]",,
1.577,27.681,187.734,0.456,5.679,0.000,11.300,"Corridor_column from [219.47] to [219.91]",,
1.579,25.609,194.398,1.714,5.679,0.000,11.300,"Wall_door_310 from [219.91] to [220.21]",,
1.585,23.061,204.408,2.404,5.679,0.000,11.300,"Corridor_column from [220.21] to [220.77]",,
1.594,18.659,219.346,3.608,5.679,0.000,11.300,"Wall_door_310 from [220.77] to [221.05]",,
1.601,12.555,252.369,2.507,5.679,0.000,11.300,"NPC_Hurt_Grabbable from [221.05] to [222.04]",,
1.602,11.169,264.729,0.742,5.679,0.000,11.300,"Door from [222.04] to [222.21]",,
1.604,9.457,266.255,359.474,5.505,0.000,11.209,"Wall_door_310 from [222.21] to [222.53]",,
1.608,8.486,264.868,359.210,5.374,0.000,11.033,"Door from [222.53] to [222.70]",,
1.613,6.757,265.246,358.336,5.239,0.000,10.855,"SmokePlane (25) from [222.70] to [224.79]",,
1.616,5.706,267.060,357.684,5.059,0.000,10.760,"Door from [224.79] to [224.94]",,
1.621,3.593,268.348,356.188,4.876,0.000,10.763,"Wall_door_310 from [224.94] to [225.07]",,
1.624,2.261,268.755,355.306,4.674,0.000,10.858,"SmokePlane (24) from [225.07] to [226.29]",,
1.636,354.932,269.976,354.215,4.502,0.000,10.974,"SmokePlane (3) from [226.29] to [228.52]",,
1.652,344.475,269.934,353.079,4.316,0.000,11.067,"SmokePlane (2) from [228.52] to [230.74]",,
1.654,342.832,267.757,352.709,4.138,0.000,11.123,"SmokePlane (22) from [230.74] to [232.96]",,
1.655,340.754,266.184,353.152,3.955,0.000,11.145,"SmokePlane (1) from [232.96] to [235.14]",,
1.655,340.643,265.353,352.713,3.769,0.000,11.146,"SmokePlane (21) from [235.14] to [235.32]",,
1.654,341.140,264.055,353.388,3.588,0.000,11.117,"SmokePlane (26) from [235.32] to [237.11]",,
1.651,343.270,262.947,353.919,3.414,0.000,11.082,"SmokePlane (21) from [237.11] to [237.27]",,
1.644,348.135,262.151,354.581,3.239,0.000,11.040,"SmokePlane (14) from [237.27] to [239.95]",,
1.625,359.853,261.983,355.421,3.059,0.000,10.979,"SmokePlane (15) from [239.95] to [242.44]",,
1.614,6.206,263.347,355.680,2.878,0.000,10.921,"SmokePlane (17) from [242.44] to [242.86]",,
1.610,8.641,264.500,355.830,2.703,0.000,10.870,"NPC Leonard from [242.86] to [243.00]",,
1.607,10.209,265.433,355.955,2.531,0.000,10.823,"SmokePlane (17) from [243.00] to [246.34]",,
1.602,12.507,267.338,356.339,2.368,0.000,10.783,"NPC Roth from [246.34] to [246.71]",,
1.598,14.220,268.528,356.641,2.202,0.000,10.747,"NPC Megan from [246.71] to [247.11]",,
1.589,16.852,270.172,356.441,2.114,0.000,10.730,"Door_frame_right_317 from [247.11] to [247.24]",,
1.580,18.555,271.681,356.453,2.114,0.000,10.730,"Wall_door_317 from [247.24] to [247.49]",,
1.568,20.696,272.963,356.361,2.114,0.000,10.730,"Door from [247.49] to [247.88]",,
1.561,22.449,273.179,356.046,2.114,0.000,10.730,"Wall_door_318 from [247.88] to [248.01]",,
1.557,23.350,273.060,356.331,2.114,0.000,10.730,"NPC Megan from [248.01] to [248.28]",,
1.555,23.597,273.356,356.588,2.114,0.000,10.730,"SmokePlane (18) from [248.28] to [248.57]",,
1.551,22.341,273.282,356.476,2.114,0.000,10.730,"SmokePlane (33) from [248.57] to [249.01]",,
1.539,19.513,272.669,355.552,2.114,0.000,10.730,"NPC Elizabeth from [249.01] to [250.47]",,
1.523,19.418,272.799,354.284,2.114,0.000,10.730,"SmokePlane (33) from [250.47] to [251.04]",,
1.515,19.996,272.697,354.053,2.114,0.000,10.730,"NPC Elizabeth from [251.04] to [251.20]",,
1.512,20.517,272.123,353.713,2.114,0.000,10.730,"SmokePlane (33) from [251.20] to [252.25]",,
1.520,19.792,272.316,354.036,2.114,0.000,10.730,"SmokePlane (19) from [252.25] to [254.51]",,
1.537,18.375,273.400,354.721,2.114,0.000,10.730,"Wall_right_315 from [254.51] to [258.20]",,
1.564,17.035,275.724,356.002,2.114,0.000,10.730,"Corridor_column from [258.20] to [258.35]",,
1.579,17.667,277.987,356.747,2.114,0.000,10.730,"Corridor_wall_west from [258.35] to [258.47]",,
1.583,19.590,280.165,357.939,2.114,0.000,10.730,"Wall_door_320 from [258.47] to [258.60]",,
1.583,21.002,281.961,358.636,2.114,0.000,10.730,"Door from [258.60] to [259.10]",,
1.583,21.074,283.352,358.725,2.114,0.000,10.730,"Wall_door_319 from [259.10] to [259.47]",,
1.583,20.423,284.879,359.042,2.114,0.000,10.730,"Corridor_column from [259.47] to [260.08]",,
1.588,18.627,284.282,358.631,2.114,0.000,10.730,"Door from [260.08] to [260.20]",,
1.592,16.619,283.072,357.922,2.114,0.000,10.730,"Wall_door_320 from [260.20] to [260.32]",,
1.595,15.396,283.233,357.428,2.114,0.000,10.730,"Corridor_column from [260.32] to [260.44]",,
1.600,13.006,284.127,358.679,2.025,0.000,10.754,"Corridor_wall_west from [260.44] to [260.68]",,
1.606,9.639,285.139,358.826,1.833,0.000,10.804,"Corridor_column from [260.68] to [261.42]",,
1.612,6.132,285.485,358.777,1.649,0.000,10.851,"Corridor_wall_west from [261.42] to [262.14]",,
1.616,4.576,281.596,357.674,1.467,0.000,10.891,"NPC Sophie from [262.14] to [263.07]",,
1.618,4.256,276.147,356.597,1.288,0.000,10.914,"Corridor_wall_west from [263.07] to [265.78]",,
1.617,4.734,274.260,356.647,1.107,0.000,10.929,"NPC Sophie from [265.78] to [266.12]",,
1.614,4.866,286.882,358.867,1.107,0.000,10.929,"Corridor_column from [266.12] to [266.23]",,
1.608,4.664,305.179,3.435,1.107,0.000,10.929,"Corridor_Wall_02 from [266.23] to [266.34]",,
1.601,6.120,311.138,4.777,1.011,0.000,10.980,"Corridor_column from [266.34] to [267.13]",,
1.596,7.678,313.394,5.941,0.794,0.000,11.097,"Corridor_Wall_02 from [267.13] to [270.96]",,
1.593,8.577,315.055,6.242,0.587,0.000,11.180,"Corridor_column from [270.96] to [271.10]",,
1.596,11.208,291.374,1.046,0.485,0.000,11.175,"Corridor_wall_west from [271.10] to [271.24]",,
1.596,13.072,261.466,354.361,0.485,0.000,11.175,"NPC Sophie from [271.24] to [271.39]",,
1.589,18.640,250.817,352.316,0.485,0.000,11.175,"Wall_door_322 from [271.39] to [271.65]",,
1.577,25.821,254.459,353.761,0.485,0.000,11.175,"NPC Sophie from [271.65] to [271.96]",,
1.569,29.425,259.698,355.401,0.485,0.000,11.175,"Wall_door_322 from [271.96] to [275.40]",,
1.565,31.272,260.372,355.346,0.485,0.000,11.175,"Corridor_column from [275.40] to [275.67]",,
1.565,31.495,258.197,354.462,0.485,0.000,11.175,"Emergency_door_north_frame_right from [275.67] to [275.79]",,
1.566,30.926,253.829,352.986,0.485,0.000,11.175,"Corridor_wall_west from [275.79] to [276.41]",,
1.566,30.654,250.461,352.465,0.485,0.000,11.175,"Emergency_door_north_door_right from [276.41] to [276.54]",,
1.567,30.362,248.282,352.276,0.485,0.000,11.175,"Emergency_door_north_door_left from [276.54] to [277.30]",,
1.567,30.423,249.793,353.321,0.520,0.000,11.023,"Emergency_door_north_door_right from [277.30] to [277.41]",,
1.567,30.598,252.412,354.635,0.548,0.000,10.864,"Corridor_wall_west from [277.41] to [277.75]",,
1.568,30.467,253.990,355.403,0.579,0.000,10.698,"Corridor_Wall_02 from [277.75] to [279.95]",,
1.569,29.974,256.717,356.329,0.601,0.000,10.543,"Corridor_wall_west from [279.95] to [280.17]",,
1.571,28.982,262.319,358.612,0.606,0.000,10.464,"Emergency_door_north_door_right from [280.17] to [280.56]",,
1.571,28.714,266.537,359.897,0.606,0.000,10.464,"EndZone_North from [280.56] to [280.70]",,
1.570,29.375,266.628,359.155,0.606,0.000,10.464,"Emergency_door_north_door_right from [280.70] to [280.84]",,
1.569,29.676,266.255,358.739,0.606,0.000,10.464,"EndZone_North from [280.84] to [281.05]",,
1.569,29.758,265.807,358.420,0.606,0.000,10.464,"Emergency_door_north_door_left from [281.05] to [282.56]",,
1.569,29.694,265.312,358.269,0.606,0.000,10.464,,,
1.569,29.558,264.872,358.017,0.606,0.000,10.464,,,
1.569,28.993,263.575,357.336,0.542,0.000,10.408,,,
1.569,29.114,260.416,356.078,0.406,0.000,10.288,,,
1.569,29.321,257.672,355.016,0.267,0.000,10.154,,,
1.568,29.369,256.442,354.871,0.142,0.000,10.021,,,
1.568,29.050,255.688,354.768,0.142,0.000,10.021,,,
1.569,27.839,252.407,353.097,0.088,0.000,10.087,,,
1.571,26.328,251.631,352.684,-0.033,0.000,10.239,,,
1.572,26.451,254.064,353.581,-0.033,0.000,10.239,,,
1.576,24.779,263.689,356.658,-0.033,0.000,10.239,,,
1.580,22.726,277.035,0.274,-0.033,0.000,10.239,,,
1.580,22.374,284.721,1.363,-0.033,0.000,10.239,,,
1.579,22.107,290.062,1.246,-0.033,0.000,10.239,,,
1.581,20.502,301.925,1.600,0.010,0.000,10.429,,,
1.584,18.398,311.736,1.541,0.118,0.000,10.613,,,
1.589,14.877,323.896,1.781,0.275,0.000,10.781,,,
1.590,13.527,330.392,1.581,0.275,0.000,10.781,,,
1.591,12.544,331.253,1.475,0.275,0.000,10.781,,,
1.591,14.594,322.349,0.866,0.275,0.000,10.781,,,
1.589,17.280,303.697,356.846,0.275,0.000,10.781,,,
1.591,16.541,301.987,357.663,0.275,0.000,10.781,,,
1.597,12.513,311.072,0.341,0.275,0.000,10.781,,,
1.612,2.307,339.666,3.939,0.275,0.000,10.781,,,
1.612,2.218,347.863,0.398,0.275,0.000,10.781,,,
1.612,1.795,349.387,0.096,0.275,0.000,10.781,,,
1.614,1.250,348.506,359.743,0.275,0.000,10.781,,,
1.615,0.684,346.672,359.893,0.275,0.000,10.781,,,
